gamePk,date,venue,home_team,away_team,home_team_id,away_team_id,home_score,away_score,home_hits,away_hits,home_errors,away_errors,weather,temperature,attendance,duration_minutes
777331,2025-06-27,Angel Stadium,Los Angeles Angels,Washington Nationals,108,120,9,15,11,19,0,1,Clear,75,34289,191
777332,2025-06-27,Chase Field,Arizona Diamondbacks,Miami Marlins,109,146,8,9,8,13,2,1,Roof Closed,76,26696,187
777326,2025-06-28,Yankee Stadium,New York Yankees,Athletics,147,133,0,7,3,8,1,0,Partly Cloudy,76,45084,165
777324,2025-06-28,Comerica Park,Detroit Tigers,Minnesota Twins,116,142,10,5,15,8,0,0,Sunny,82,33780,155
777325,2025-06-28,PNC Park,Pittsburgh Pirates,New York Mets,134,121,9,2,12,10,0,1,Overcast,82,30649,171
777330,2025-06-28,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,110,139,3,11,7,14,2,1,Partly Cloudy,91,30491,161
777322,2025-06-28,Globe Life Field,Texas Rangers,Seattle Mariners,140,136,3,2,6,6,0,1,Roof Closed,74,35506,170
777319,2025-06-28,Kauffman Stadium,Kansas City Royals,Los Angeles Dodgers,118,119,9,5,14,10,0,1,Partly Cloudy,87,36578,157
777328,2025-06-28,Great American Ball Park,Cincinnati Reds,San Diego Padres,113,135,4,6,10,12,0,0,Overcast,91,31380,173
777329,2025-06-28,Progressive Field,Cleveland Guardians,St. Louis Cardinals,114,138,6,9,9,14,1,0,Partly Cloudy,82,32484,161
777323,2025-06-28,Fenway Park,Boston Red Sox,Toronto Blue Jays,111,141,15,1,18,6,1,1,Overcast,70,34927,171
777327,2025-06-28,Rate Field,Chicago White Sox,San Francisco Giants,145,137,1,0,7,4,0,0,Sunny,81,20090,129
777318,2025-06-28,Chase Field,Arizona Diamondbacks,Miami Marlins,109,146,7,8,10,11,1,1,Roof Closed,76,28446,174
777321,2025-06-28,American Family Field,Milwaukee Brewers,Colorado Rockies,158,115,5,0,10,1,0,0,Sunny,75,32057,129
777320,2025-06-28,Daikin Park,Houston Astros,Chicago Cubs,117,112,3,12,7,15,0,0,Roof Closed,73,39218,169
777333,2025-06-28,Truist Park,Atlanta Braves,Philadelphia Phillies,144,143,6,1,13,4,0,0,Cloudy,88,41751,147
777315,2025-06-28,Angel Stadium,Los Angeles Angels,Washington Nationals,108,120,8,2,9,9,0,0,Clear,80,39623,147
777309,2025-06-29,Progressive Field,Cleveland Guardians,St. Louis Cardinals,114,138,0,7,3,11,2,0,Sunny,82,27935,170
777313,2025-06-29,PNC Park,Pittsburgh Pirates,New York Mets,134,121,12,1,16,7,0,1,Partly Cloudy,80,24898,152
777317,2025-06-29,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,110,139,5,1,10,5,0,0,Partly Cloudy,94,19226,149
777310,2025-06-29,Fenway Park,Boston Red Sox,Toronto Blue Jays,111,141,3,5,8,6,0,1,Sunny,85,35214,178
777316,2025-06-29,Truist Park,Atlanta Braves,Philadelphia Phillies,144,143,1,2,6,7,0,0,Sunny,87,35792,138
777307,2025-06-29,Yankee Stadium,New York Yankees,Athletics,147,133,12,5,9,5,0,3,Partly Cloudy,88,42166,186
777312,2025-06-29,Great American Ball Park,Cincinnati Reds,San Diego Padres,113,135,3,2,9,8,1,0,Partly Cloudy,84,23510,166
777308,2025-06-29,Daikin Park,Houston Astros,Chicago Cubs,117,112,2,0,7,5,0,1,Roof Closed,73,37319,147
777304,2025-06-29,Kauffman Stadium,Kansas City Royals,Los Angeles Dodgers,118,119,1,5,5,7,0,0,Cloudy,84,28671,147
777311,2025-06-29,Rate Field,Chicago White Sox,San Francisco Giants,145,137,5,2,11,6,0,1,Partly Cloudy,89,20225,166
777301,2025-06-29,American Family Field,Milwaukee Brewers,Colorado Rockies,158,115,3,4,6,11,2,1,Partly Cloudy,88,30037,208
777302,2025-06-29,Globe Life Field,Texas Rangers,Seattle Mariners,140,136,4,6,9,13,1,0,Roof Closed,74,31126,203
777305,2025-06-29,Angel Stadium,Los Angeles Angels,Washington Nationals,108,120,4,7,9,10,1,0,Sunny,82,33661,191
777303,2025-06-29,Chase Field,Arizona Diamondbacks,Miami Marlins,109,146,4,6,6,6,2,0,Roof Closed,76,30653,185
777314,2025-06-29,Comerica Park,Detroit Tigers,Minnesota Twins,116,142,3,0,10,2,0,1,Clear,86,40718,139
777306,2025-06-30,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,143,135,4,0,6,7,0,0,Cloudy,77,43138,146
777299,2025-06-30,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,134,138,7,0,11,4,0,0,Partly Cloudy,76,12387,132
777295,2025-06-30,Rogers Centre,Toronto Blue Jays,New York Yankees,141,147,5,4,10,7,0,2,Roof Closed,68,40619,163
777300,2025-06-30,Fenway Park,Boston Red Sox,Cincinnati Reds,111,113,13,6,14,10,0,1,Clear,82,35691,163
777296,2025-06-30,George M. Steinbrenner Field,Tampa Bay Rays,Athletics,139,133,4,6,8,9,0,1,Partly Cloudy,82,10046,144
777292,2025-06-30,Globe Life Field,Texas Rangers,Baltimore Orioles,140,110,6,10,7,15,0,1,Roof Closed,74,27420,214
777297,2025-06-30,T-Mobile Park,Seattle Mariners,Kansas City Royals,136,118,6,2,12,4,0,0,Clear,82,27309,139
777291,2025-06-30,Chase Field,Arizona Diamondbacks,San Francisco Giants,109,137,4,2,8,7,0,1,Roof Closed,78,18963,140
777283,2025-07-01,Rogers Centre,Toronto Blue Jays,New York Yankees,141,147,12,5,8,9,2,1,Sunny,77,41129,189
777288,2025-07-01,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,134,138,1,0,4,7,0,0,Partly Cloudy,76,19631,157
777293,2025-07-01,loanDepot park,Miami Marlins,Minnesota Twins,146,142,2,0,8,2,0,0,Roof Closed,72,7860,128
777286,2025-07-01,George M. Steinbrenner Field,Tampa Bay Rays,Athletics,139,133,3,4,8,7,1,1,Partly Cloudy,84,10046,179
777294,2025-07-01,Fenway Park,Boston Red Sox,Cincinnati Reds,111,113,5,3,8,3,0,0,Partly Cloudy,84,32355,129
777298,2025-07-01,Truist Park,Atlanta Braves,Los Angeles Angels,144,108,0,4,7,8,1,0,Partly Cloudy,78,31657,166
777287,2025-07-01,Wrigley Field,Chicago Cubs,Cleveland Guardians,112,114,5,2,10,5,0,1,Clear,80,38257,146
777282,2025-07-01,Globe Life Field,Texas Rangers,Baltimore Orioles,140,110,10,2,14,7,0,0,Roof Closed,74,30933,162
777285,2025-07-01,Coors Field,Colorado Rockies,Houston Astros,115,117,5,6,12,10,1,0,Cloudy,85,30303,169
777281,2025-07-01,T-Mobile Park,Seattle Mariners,Kansas City Royals,136,118,3,6,7,10,0,0,Clear,80,22351,159
777278,2025-07-01,Chase Field,Arizona Diamondbacks,San Francisco Giants,109,137,8,2,9,6,1,0,Roof Closed,76,19455,136
777280,2025-07-01,Dodger Stadium,Los Angeles Dodgers,Chicago White Sox,119,145,6,1,7,3,0,0,Clear,69,51368,142
777290,2025-07-02,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,143,135,5,1,10,6,1,0,Partly Cloudy,84,40742,154
777284,2025-07-02,Nationals Park,Washington Nationals,Detroit Tigers,120,116,2,11,9,15,0,1,Partly Cloudy,80,13994,169
777289,2025-07-02,Citi Field,New York Mets,Milwaukee Brewers,121,158,2,7,2,10,0,0,Cloudy,81,36335,154
777271,2025-07-02,George M. Steinbrenner Field,Tampa Bay Rays,Athletics,139,133,6,5,10,10,1,0,Overcast,84,10046,151
777272,2025-07-02,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,134,138,5,0,8,6,0,0,Sunny,78,15979,136
777284,2025-07-02,Nationals Park,Washington Nationals,Detroit Tigers,120,116,2,11,9,15,0,1,Partly Cloudy,80,13994,169
777265,2025-07-02,Nationals Park,Washington Nationals,Detroit Tigers,120,116,9,4,11,8,0,0,Partly Cloudy,84,16095,175
777273,2025-07-02,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,143,135,4,6,12,5,0,2,Cloudy,80,40144,172
777290,2025-07-02,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,143,135,5,1,10,6,1,0,Partly Cloudy,84,40742,154
777289,2025-07-02,Citi Field,New York Mets,Milwaukee Brewers,121,158,2,7,2,10,0,0,Cloudy,81,36335,154
777276,2025-07-02,Citi Field,New York Mets,Milwaukee Brewers,121,158,7,3,9,7,0,0,Clear,81,41123,173
777294,2025-07-01,Fenway Park,Boston Red Sox,Cincinnati Reds,111,113,5,3,8,3,0,0,Partly Cloudy,84,32355,129
777275,2025-07-02,loanDepot park,Miami Marlins,Minnesota Twins,146,142,1,2,8,8,0,0,Roof Closed,72,7596,150
777274,2025-07-02,Rogers Centre,Toronto Blue Jays,New York Yankees,141,147,11,9,13,15,0,1,Partly Cloudy,74,30985,187
777277,2025-07-02,Fenway Park,Boston Red Sox,Cincinnati Reds,111,113,4,8,11,12,2,1,Cloudy,82,35845,167
777279,2025-07-02,Truist Park,Atlanta Braves,Los Angeles Angels,144,108,8,3,12,7,0,0,Clear,89,31519,165
777266,2025-07-02,Wrigley Field,Chicago Cubs,Cleveland Guardians,112,114,5,4,9,7,1,0,Partly Cloudy,84,35250,177
777268,2025-07-02,Globe Life Field,Texas Rangers,Baltimore Orioles,140,110,6,0,11,5,0,1,Roof Closed,74,27636,139
777269,2025-07-02,Coors Field,Colorado Rockies,Houston Astros,115,117,3,5,10,16,1,0,Partly Cloudy,92,30545,161
777262,2025-07-02,T-Mobile Park,Seattle Mariners,Kansas City Royals,136,118,3,2,8,6,0,0,Cloudy,71,24752,158
777270,2025-07-02,Chase Field,Arizona Diamondbacks,San Francisco Giants,109,137,5,6,11,10,0,1,Roof Closed,78,17840,181
777267,2025-07-02,Dodger Stadium,Los Angeles Dodgers,Chicago White Sox,119,145,5,4,9,9,0,0,Clear,69,53536,173
777263,2025-07-03,loanDepot park,Miami Marlins,Minnesota Twins,146,142,4,1,8,5,1,0,Roof Closed,72,9690,134
777264,2025-07-03,Coors Field,Colorado Rockies,Houston Astros,115,117,7,6,13,13,1,0,Partly Cloudy,90,25151,169
777258,2025-07-03,Nationals Park,Washington Nationals,Detroit Tigers,120,116,11,7,15,8,0,3,Clear,92,31599,173
777260,2025-07-03,Rogers Centre,Toronto Blue Jays,New York Yankees,141,147,8,5,11,12,0,0,Clear,74,36848,203
777257,2025-07-03,Citi Field,New York Mets,Milwaukee Brewers,121,158,3,2,8,6,1,0,Cloudy,71,42241,145
777261,2025-07-03,Truist Park,Atlanta Braves,Los Angeles Angels,144,108,1,5,5,11,0,0,Partly Cloudy,88,34702,144
777259,2025-07-03,Wrigley Field,Chicago Cubs,Cleveland Guardians,112,114,1,0,3,7,0,0,Clear,84,38450,164
777256,2025-07-03,Chase Field,Arizona Diamondbacks,San Francisco Giants,109,137,2,7,3,12,0,0,Roof Closed,78,29769,140
777251,2025-07-03,T-Mobile Park,Seattle Mariners,Kansas City Royals,136,118,2,3,10,5,0,1,Clear,68,38030,165
777253,2025-07-03,Dodger Stadium,Los Angeles Dodgers,Chicago White Sox,119,145,6,2,7,4,1,1,Clear,73,53530,139
777245,2025-07-04,Nationals Park,Washington Nationals,Boston Red Sox,120,111,2,11,6,16,0,0,Sunny,83,37355,166
777255,2025-07-04,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,143,113,6,9,14,11,1,2,Sunny,82,42166,190
777246,2025-07-04,Wrigley Field,Chicago Cubs,St. Louis Cardinals,112,138,11,3,13,4,0,0,Cloudy,80,40038,143
777250,2025-07-04,Citi Field,New York Mets,New York Yankees,121,147,6,5,10,8,0,1,Sunny,82,41216,162
777236,2025-07-04,T-Mobile Park,Seattle Mariners,Pittsburgh Pirates,136,134,6,0,7,5,1,1,Partly Cloudy,71,33061,133
777247,2025-07-04,Target Field,Minnesota Twins,Tampa Bay Rays,142,139,4,3,8,8,0,0,Partly Cloudy,92,24197,160
777239,2025-07-04,Petco Park,San Diego Padres,Texas Rangers,135,140,3,2,10,5,1,0,Sunny,74,45114,188
777242,2025-07-04,Rogers Centre,Toronto Blue Jays,Los Angeles Angels,141,108,4,3,5,5,1,2,Clear,75,30119,184
777249,2025-07-04,Progressive Field,Cleveland Guardians,Detroit Tigers,114,116,1,2,9,7,0,0,Clear,85,38213,163
777254,2025-07-04,loanDepot park,Miami Marlins,Milwaukee Brewers,146,158,5,6,8,8,0,2,Roof Closed,72,16715,166
777252,2025-07-04,Truist Park,Atlanta Braves,Baltimore Orioles,144,110,2,3,6,7,0,0,Partly Cloudy,90,40249,148
777243,2025-07-04,Coors Field,Colorado Rockies,Chicago White Sox,115,145,2,3,5,8,1,1,Clear,87,48064,151
777235,2025-07-04,Dodger Stadium,Los Angeles Dodgers,Houston Astros,119,117,1,18,6,20,1,1,Clear,77,53377,165
777248,2025-07-04,Chase Field,Arizona Diamondbacks,Kansas City Royals,109,118,3,9,8,14,1,0,Roof Closed,76,35562,165
777244,2025-07-04,Sutter Health Park,Athletics,San Francisco Giants,133,137,11,2,12,6,2,3,Clear,77,12322,163
777230,2025-07-05,Target Field,Minnesota Twins,Tampa Bay Rays,142,139,6,5,11,11,1,1,Overcast,80,17679,169
777229,2025-07-05,Wrigley Field,Chicago Cubs,St. Louis Cardinals,112,138,6,8,9,13,1,1,Partly Cloudy,85,40119,172
777231,2025-07-05,Rogers Centre,Toronto Blue Jays,Los Angeles Angels,141,108,4,3,13,7,0,1,Sunny,75,37269,196
777228,2025-07-05,Nationals Park,Washington Nationals,Boston Red Sox,120,111,3,10,9,11,3,2,Partly Cloudy,89,34319,143
777233,2025-07-05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,143,113,5,1,5,8,1,1,Sunny,88,42045,141
777234,2025-07-05,Chase Field,Arizona Diamondbacks,Kansas City Royals,109,118,7,1,8,5,0,1,Roof Closed,78,26043,153
777237,2025-07-05,Truist Park,Atlanta Braves,Baltimore Orioles,144,110,6,9,10,8,0,1,Sunny,91,37170,193
777241,2025-07-05,Citi Field,New York Mets,New York Yankees,121,147,12,6,10,9,0,2,Sunny,85,41401,186
777238,2025-07-05,loanDepot park,Miami Marlins,Milwaukee Brewers,146,158,4,2,8,9,0,0,Roof Closed,72,11378,152
777240,2025-07-05,Progressive Field,Cleveland Guardians,Detroit Tigers,114,116,0,1,4,2,0,0,Clear,89,34580,134
777221,2025-07-05,Dodger Stadium,Los Angeles Dodgers,Houston Astros,119,117,4,6,9,9,1,1,Sunny,82,49744,172
777232,2025-07-05,Coors Field,Colorado Rockies,Chicago White Sox,115,145,3,10,11,15,0,0,Cloudy,78,47351,159
777223,2025-07-05,Petco Park,San Diego Padres,Texas Rangers,135,140,4,7,10,11,0,0,Clear,70,43297,177
777227,2025-07-05,Sutter Health Park,Athletics,San Francisco Giants,133,137,2,7,7,10,1,0,Clear,86,12298,155
777225,2025-07-05,T-Mobile Park,Seattle Mariners,Pittsburgh Pirates,136,134,1,0,5,2,0,0,Clear,72,32295,137
777222,2025-07-06,Truist Park,Atlanta Braves,Baltimore Orioles,144,110,1,2,7,6,0,0,Sunny,86,34012,153
777213,2025-07-06,Nationals Park,Washington Nationals,Boston Red Sox,120,111,4,6,12,12,1,0,Partly Cloudy,86,26771,174
777217,2025-07-06,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,143,113,3,1,7,1,0,1,Partly Cloudy,88,42055,147
777214,2025-07-06,Rogers Centre,Toronto Blue Jays,Los Angeles Angels,141,108,3,2,8,9,1,0,Roof Closed,68,40114,160
777226,2025-07-06,Progressive Field,Cleveland Guardians,Detroit Tigers,114,116,2,7,6,6,2,0,Partly Cloudy,91,30953,173
777216,2025-07-06,Citi Field,New York Mets,New York Yankees,121,147,4,6,10,12,0,0,Sunny,87,41117,182
777224,2025-07-06,loanDepot park,Miami Marlins,Milwaukee Brewers,146,158,1,3,3,9,0,0,Roof Closed,72,12513,129
777220,2025-07-06,Target Field,Minnesota Twins,Tampa Bay Rays,142,139,5,7,7,11,1,1,Sunny,80,21294,181
777215,2025-07-06,Coors Field,Colorado Rockies,Chicago White Sox,115,145,6,4,8,7,0,0,Partly Cloudy,88,25662,161
777218,2025-07-06,Chase Field,Arizona Diamondbacks,Kansas City Royals,109,118,0,4,3,8,0,0,Roof Closed,76,22949,142
777206,2025-07-06,Dodger Stadium,Los Angeles Dodgers,Houston Astros,119,117,1,5,7,11,0,0,Sunny,84,41291,155
777205,2025-07-06,T-Mobile Park,Seattle Mariners,Pittsburgh Pirates,136,134,1,0,7,5,1,0,Sunny,72,35174,150
777219,2025-07-06,Wrigley Field,Chicago Cubs,St. Louis Cardinals,112,138,11,0,13,6,0,1,Overcast,69,40319,190
777207,2025-07-06,Petco Park,San Diego Padres,Texas Rangers,135,140,4,1,10,6,0,1,Clear,70,40711,178
777210,2025-07-06,Sutter Health Park,Athletics,San Francisco Giants,133,137,2,6,5,9,1,0,Clear,88,12180,165
777211,2025-07-07,Comerica Park,Detroit Tigers,Tampa Bay Rays,116,139,5,1,9,5,0,1,Partly Cloudy,74,22657,134
777209,2025-07-07,Fenway Park,Boston Red Sox,Colorado Rockies,111,115,9,3,14,7,1,1,Partly Cloudy,83,32441,179
777208,2025-07-07,Great American Ball Park,Cincinnati Reds,Miami Marlins,113,146,1,5,3,10,2,0,Overcast,78,17167,152
777204,2025-07-07,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,118,134,9,3,12,4,1,0,Partly Cloudy,89,18614,147
777212,2025-07-07,Rate Field,Chicago White Sox,Toronto Blue Jays,145,141,4,8,8,8,0,1,Clear,75,13292,150
777201,2025-07-07,American Family Field,Milwaukee Brewers,Los Angeles Dodgers,158,119,9,1,8,7,0,2,Partly Cloudy,68,35365,158
777202,2025-07-07,Daikin Park,Houston Astros,Cleveland Guardians,117,114,5,7,5,10,0,0,Roof Closed,73,27472,160
777200,2025-07-07,Angel Stadium,Los Angeles Angels,Texas Rangers,108,140,6,5,10,8,1,0,Clear,76,24382,174
777203,2025-07-07,Petco Park,San Diego Padres,Arizona Diamondbacks,135,109,3,6,7,9,0,2,Clear,70,40045,187
777199,2025-07-07,Oracle Park,San Francisco Giants,Philadelphia Phillies,137,143,3,1,8,6,0,0,Clear,61,40043,151
777198,2025-07-08,Oriole Park at Camden Yards,Baltimore Orioles,New York Mets,110,121,6,7,9,11,0,0,Overcast,81,35200,189
777195,2025-07-08,Comerica Park,Detroit Tigers,Tampa Bay Rays,116,139,4,2,4,8,1,0,Clear,83,25198,143
777187,2025-07-08,Yankee Stadium,New York Yankees,Seattle Mariners,147,136,10,3,12,7,0,2,Cloudy,88,38641,160
777196,2025-07-08,Fenway Park,Boston Red Sox,Colorado Rockies,111,115,10,2,10,5,0,2,Partly Cloudy,90,30169,142
777197,2025-07-08,Great American Ball Park,Cincinnati Reds,Miami Marlins,113,146,2,12,5,12,1,1,Partly Cloudy,86,22399,170
777194,2025-07-08,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,118,134,4,3,7,6,1,1,Partly Cloudy,86,22855,135
777190,2025-07-08,Target Field,Minnesota Twins,Chicago Cubs,142,112,8,1,12,6,0,0,Partly Cloudy,82,30384,142
777188,2025-07-08,Rate Field,Chicago White Sox,Toronto Blue Jays,145,141,1,6,4,12,1,0,Cloudy,77,13027,120
777193,2025-07-08,American Family Field,Milwaukee Brewers,Los Angeles Dodgers,158,119,3,1,8,4,0,0,Partly Cloudy,79,38175,137
777191,2025-07-08,Busch Stadium,St. Louis Cardinals,Washington Nationals,138,120,4,2,7,8,0,0,Overcast,73,20658,141
777192,2025-07-08,Daikin Park,Houston Astros,Cleveland Guardians,117,114,6,10,11,8,0,0,Roof Closed,73,30681,195
777180,2025-07-08,Angel Stadium,Los Angeles Angels,Texas Rangers,108,140,1,13,6,12,0,1,Clear,83,26368,144
777185,2025-07-08,Petco Park,San Diego Padres,Arizona Diamondbacks,135,109,1,0,4,3,0,0,Clear,72,38670,151
777186,2025-07-08,Oracle Park,San Francisco Giants,Philadelphia Phillies,137,143,4,3,9,9,1,0,Partly Cloudy,63,40212,162
777189,2025-07-08,Sutter Health Park,Athletics,Atlanta Braves,133,144,10,1,10,6,1,0,Clear,85,8620,145
777172,2025-07-09,Rate Field,Chicago White Sox,Toronto Blue Jays,145,141,2,1,6,9,1,0,Cloudy,80,11123,149
777175,2025-07-09,American Family Field,Milwaukee Brewers,Los Angeles Dodgers,158,119,3,2,8,5,0,1,Sunny,71,33607,192
777163,2025-07-09,Oracle Park,San Francisco Giants,Philadelphia Phillies,137,143,0,13,4,17,3,0,Partly Cloudy,64,37334,169
777182,2025-07-09,Comerica Park,Detroit Tigers,Tampa Bay Rays,116,139,3,7,8,16,0,0,Partly Cloudy,80,22019,165
777184,2025-07-09,Yankee Stadium,New York Yankees,Seattle Mariners,147,136,9,6,13,7,0,1,Partly Cloudy,88,35651,157
777179,2025-07-09,Fenway Park,Boston Red Sox,Colorado Rockies,111,115,10,2,15,8,0,1,Partly Cloudy,72,31691,147
777183,2025-07-09,Great American Ball Park,Cincinnati Reds,Miami Marlins,113,146,7,2,11,7,0,0,Partly Cloudy,82,15867,148
777177,2025-07-09,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,118,134,4,3,11,8,0,0,Clear,91,18398,158
777173,2025-07-09,Target Field,Minnesota Twins,Chicago Cubs,142,112,4,2,8,4,0,0,Partly Cloudy,85,33470,140
777178,2025-07-09,Busch Stadium,St. Louis Cardinals,Washington Nationals,138,120,2,8,7,9,0,0,Clear,87,20956,147
777174,2025-07-09,Daikin Park,Houston Astros,Cleveland Guardians,117,114,2,4,6,6,0,0,Roof Closed,73,27683,131
777171,2025-07-09,Angel Stadium,Los Angeles Angels,Texas Rangers,108,140,11,8,12,10,1,2,Clear,82,25462,176
